City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,Sinnamary,5.3833,-52.95,75.49,88,100,5.03,GF,2022-07-14 00:11:10
121,Bambous Virieux,-20.3428,57.7575,66.22,67,86,16.53,MU,2022-07-14 00:11:10
122,Itapuranga,-15.5622,-49.9486,70.56,29,93,1.5,BR,2022-07-14 00:11:10
123,Mananjary,-21.2167,48.3333,64.11,91,25,2.35,MG,2022-07-14 00:11:11
124,Aleksandrovskoye,44.7142,43.0008,66.58,79,7,6.24,RU,2022-07-14 00:11:11
125,Port Blair,11.6667,92.75,81.52,81,100,18.59,IN,2022-07-14 00:10:20
126,Golubitskaya,45.3222,37.2822,61.21,64,1,11.54,RU,2022-07-14 00:11:11
127,Porto Novo,6.4965,2.6036,74.82,89,100,6.04,BJ,2022-07-14 00:11:11
128,Sekoma,-24.4,23.8833,56.59,41,4,1.86,BW,2022-07-14 00:11:12
129,Ranong,9.9658,98.6348,77.94,84,100,10.47,TH,2022-07-14 00:11:12
130,Bontang,0.1333,117.5,75.72,90,100,5.14,ID,2022-07-14 00:11:12
131,Mandalgovi,45.7625,106.2708,68.97,36,84,11.07,MN,2022-07-14 00:11:12
132,Huilong,31.8111,121.655,86.88,72,97,6.08,CN,2022-07-14 00:11:13
133,Lavrentiya,65.5833,-171.0,53.13,69,89,7.94,RU,2022-07-14 00:11:13
134,Vestmannaeyjar,63.4427,-20.2734,49.57,81,100,12.26,IS,2022-07-14 00:12:13
135,Nuuk,64.1835,-51.7216,54.21,66,4,9.22,GL,2022-07-14 00:12:14
136,Quatre Cocos,-20.2078,57.7625,66.09,71,85,17.38,MU,2022-07-14 00:12:14
137,Jibuti,11.5,42.5,85.69,48,86,5.95,DJ,2022-07-14 00:12:14
138,Atherton,53.5237,-2.4935,57.29,82,30,2.53,GB,2022-07-14 00:12:14
139,Chuy,-33.6971,-53.4616,45.82,85,2,9.89,UY,2022-07-14 00:12:15
140,Kolondieba,11.0882,-6.8926,77.83,70,96,5.66,ML,2022-07-14 00:12:15
141,Hopkinton,41.4612,-71.7776,82.72,68,0,4.61,US,2022-07-14 00:12:15
142,Thompson,55.7435,-97.8558,83.23,28,0,10.47,CA,2022-07-14 00:09:07
143,Zabol,32.25,67.25,74.79,16,0,9.1,AF,2022-07-14 00:12:16
144,Voi,-3.3945,38.563,69.94,77,94,9.48,KE,2022-07-14 00:12:16
145,Bandarbeyla,9.4942,50.8122,77.61,78,83,26.28,SO,2022-07-14 00:12:16
146,Yulara,-25.2406,130.9889,48.04,59,0,14.27,AU,2022-07-14 00:12:17
147,Kahului,20.8947,-156.47,87.82,69,40,26.46,US,2022-07-14 00:11:54
148,Lata,40.1629,-8.3327,78.08,32,83,4.38,PT,2022-07-14 00:12:17
149,Norman Wells,65.282,-126.8329,64.33,63,100,12.15,CA,2022-07-14 00:12:17
150,Arraial Do Cabo,-22.9661,-42.0278,70.57,91,100,14.23,BR,2022-07-14 00:12:18
151,Mahon,39.8885,4.2658,75.76,78,0,1.14,ES,2022-07-14 00:12:18
152,Port Pirie,-33.1833,138.0167,51.37,63,0,2.35,AU,2022-07-14 00:12:18
153,Georgetown,5.4112,100.3354,78.73,94,20,0.0,MY,2022-07-14 00:10:27
154,Beloha,-25.1667,45.05,61.12,79,0,6.26,MG,2022-07-14 00:12:19
155,Alice Springs,-23.7,133.8833,42.35,65,0,0.0,AU,2022-07-14 00:08:30
156,Batemans Bay,-35.7167,150.1833,52.11,55,59,11.18,AU,2022-07-14 00:12:19
157,Comodoro Rivadavia,-45.8667,-67.5,30.06,86,0,4.61,AR,2022-07-14 00:12:20
158,Sorland,67.667,12.6934,51.66,88,100,7.43,NO,2022-07-14 00:12:20
159,Ancud,-41.8697,-73.8203,41.23,88,95,11.32,CL,2022-07-14 00:12:20
160,Ishnya,57.1907,39.36,57.65,75,54,5.19,RU,2022-07-14 00:12:21
161,Teya,60.3778,92.6267,53.24,68,83,1.5,RU,2022-07-14 00:12:21
162,Tommot,58.9564,126.2925,65.07,89,100,0.38,RU,2022-07-14 00:12:21
163,Mukhen,48.1,136.1,74.32,82,47,3.04,RU,2022-07-14 00:12:22
164,Saint-Philippe,-21.3585,55.7679,65.79,80,31,10.58,RE,2022-07-14 00:12:22
165,Beruwala,6.4788,79.9828,79.16,82,9,14.27,LK,2022-07-14 00:12:22
166,Huarmey,-10.0681,-78.1522,62.26,82,24,11.88,PE,2022-07-14 00:12:22
167,Airai,-8.9266,125.4092,59.41,71,81,4.36,TL,2022-07-14 00:12:23
168,Orito,0.6766,-76.8771,71.08,98,89,1.74,CO,2022-07-14 00:12:23
169,Katangli,51.7102,143.2326,56.19,88,100,12.1,RU,2022-07-14 00:12:23
170,Pasighat,28.0667,95.3333,79.3,90,44,2.98,IN,2022-07-14 00:12:24
171,Sabla,12.7525,4.7077,82.33,65,89,11.41,NG,2022-07-14 00:12:24
172,Zhigansk,66.7697,123.3711,64.54,81,93,10.85,RU,2022-07-14 00:12:12
173,Port Elizabeth,-33.918,25.5701,61.32,62,0,11.01,ZA,2022-07-14 00:12:24
174,Makat,47.6469,53.3463,89.8,23,3,17.9,KZ,2022-07-14 00:12:25
175,Barguzin,53.6167,109.6167,66.92,58,37,4.41,RU,2022-07-14 00:12:25
176,Balsas,-7.5325,-46.0356,81.12,37,36,4.29,BR,2022-07-14 00:12:25
177,Makakilo City,21.3469,-158.0858,86.32,63,75,18.41,US,2022-07-14 00:12:25
178,Mattru,7.6244,-11.8332,73.2,97,81,2.51,SL,2022-07-14 00:12:26
179,Portland,45.5234,-122.6762,83.55,45,0,8.05,US,2022-07-14 00:09:34
180,Sambava,-14.2667,50.1667,67.73,87,23,11.48,MG,2022-07-14 00:13:26
181,Coquimbo,-29.9533,-71.3436,55.13,87,100,10.36,CL,2022-07-14 00:13:26
182,Bindura,-17.3019,31.3306,53.98,64,72,0.98,ZW,2022-07-14 00:13:27
183,Petrozavodsk,61.7849,34.3469,52.48,93,7,3.47,RU,2022-07-14 00:13:27
184,San Carlos De Bariloche,-41.1456,-71.3082,31.24,80,75,5.75,AR,2022-07-14 00:13:27
185,Lompoc,34.6391,-120.4579,84.02,72,0,14.97,US,2022-07-14 00:13:27
186,Santa Cruz,-17.8,-63.1667,69.26,73,75,14.97,BO,2022-07-14 00:10:24
187,Derzhavinsk,51.1,66.3167,67.69,71,0,8.93,KZ,2022-07-14 00:13:28
188,Saint-Joseph,-21.3667,55.6167,64.78,77,29,10.42,RE,2022-07-14 00:13:28
189,Tumut,-35.3,148.2167,46.65,58,2,1.21,AU,2022-07-14 00:13:28
190,Henties Bay,-22.116,14.2845,55.78,87,0,8.21,NA,2022-07-14 00:13:28
191,Half Moon Bay,37.4636,-122.4286,84.06,68,100,20.71,US,2022-07-14 00:12:27
192,Eureka,40.8021,-124.1637,69.13,70,20,8.99,US,2022-07-14 00:13:29
193,Upernavik,72.7868,-56.1549,41.11,88,30,13.11,GL,2022-07-14 00:13:29
194,Sampit,-2.5333,112.95,73.47,98,100,2.24,ID,2022-07-14 00:13:29
195,Rincon,32.296,-81.2354,85.86,74,75,5.75,US,2022-07-14 00:13:30
196,Touros,-5.1989,-35.4608,75.36,87,31,12.46,BR,2022-07-14 00:13:30
197,Ingham,42.6,-84.3833,74.82,65,0,5.75,US,2022-07-14 00:13:30
198,Ambo,-10.1308,-76.2047,59.36,89,72,4.97,PE,2022-07-14 00:13:31
199,Bossangoa,6.4926,17.4552,68.79,99,99,3.09,CF,2022-07-14 00:13:31
200,Tarancon,40.0085,-3.0073,80.42,22,100,7.49,ES,2022-07-14 00:13:31
201,Alofi,-19.0595,-169.9187,82.29,61,75,14.97,NU,2022-07-14 00:13:32
202,Weihe,32.9952,105.3247,71.92,97,100,1.97,CN,2022-07-14 00:13:32
203,Vinstra,61.5952,9.7523,49.68,71,53,3.02,NO,2022-07-14 00:13:32
204,Jatai,-17.8814,-51.7144,71.37,38,68,6.15,BR,2022-07-14 00:13:32
205,Brae,60.3964,-1.353,50.68,86,100,11.18,GB,2022-07-14 00:13:33
206,Sumkino,58.1108,68.3244,64.09,94,26,0.89,RU,2022-07-14 00:13:33
207,Zhuhai,22.2769,113.5678,86.86,84,20,1.14,CN,2022-07-14 00:13:33
208,Cananea,30.95,-110.3,83.3,34,61,2.68,MX,2022-07-14 00:13:33
209,Chimoio,-19.1164,33.4833,53.92,84,18,2.46,MZ,2022-07-14 00:13:34
210,Samandag,36.0842,35.9771,79.32,83,9,6.55,TR,2022-07-14 00:13:34
211,Kloulklubed,7.0419,134.2556,81.1,75,91,7.27,PW,2022-07-14 00:13:34
212,Garowe,8.4054,48.4845,79.09,54,85,29.35,SO,2022-07-14 00:13:35
213,Messina,38.1933,15.5497,75.43,72,0,5.75,IT,2022-07-14 00:13:35
214,Beringovskiy,63.05,179.3167,50.14,86,84,8.88,RU,2022-07-14 00:13:35
215,Yeppoon,-23.1333,150.7333,56.98,54,0,15.73,AU,2022-07-14 00:13:35
216,Montrose,38.4166,-108.2673,85.41,63,65,14.25,US,2022-07-14 00:13:36
217,Jinji,23.2281,110.8261,82.9,80,0,1.34,CN,2022-07-14 00:13:36
218,Hokitika,-42.7167,170.9667,53.19,73,50,3.47,NZ,2022-07-14 00:13:36
219,Chardara,41.2547,67.9692,73.98,40,0,8.32,KZ,2022-07-14 00:13:36
220,Matamoros,25.5333,-103.25,96.91,19,75,17.27,MX,2022-07-14 00:13:37
221,Ribeira Grande,38.5167,-28.7,72.0,78,40,6.91,PT,2022-07-14 00:13:37
222,Imbituba,-28.24,-48.6703,59.09,83,17,3.0,BR,2022-07-14 00:13:37
223,Codrington,-38.2667,141.9667,51.06,78,46,6.24,AU,2022-07-14 00:14:37
224,Negotin,44.2264,22.5308,62.4,44,0,3.65,RS,2022-07-14 00:14:38
225,Bonfim,3.0833,-59.95,77.32,87,99,5.5,BR,2022-07-14 00:14:38
226,Gravdal,68.1214,13.5031,52.93,83,100,5.3,NO,2022-07-14 00:14:38
227,Bengkulu,-3.8004,102.2655,76.17,90,86,3.49,ID,2022-07-14 00:14:38
228,Nouadhibou,20.931,-17.0347,67.93,85,49,24.0,MR,2022-07-14 00:14:39
229,Bereda,43.2686,-7.5406,76.41,56,98,2.06,ES,2022-07-14 00:14:39
