City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Vestmannaeyjar,IS,63.4427,-20.2734,51.75,84,91,15.99,overcast clouds
185,Kulhudhuffushi,MV,6.6221,73.07,82.09,80,50,10.0,light rain
186,Guerrero Negro,MX,27.9769,-114.0611,71.64,68,16,10.65,few clouds
187,Lebu,CL,-37.6167,-73.65,47.43,77,96,11.88,light rain
188,Komsomolskiy,UZ,40.4272,71.7189,90.32,23,0,4.61,clear sky
189,Surt,LY,31.2089,16.5887,80.87,57,0,11.97,clear sky
190,Yekaterinoslavka,RU,50.3734,129.1139,63.46,91,88,7.05,overcast clouds
191,Yaan,NG,7.3833,8.5667,81.03,72,96,8.99,light rain
192,La Asuncion,VE,11.0333,-63.8628,82.51,73,33,12.57,scattered clouds
193,Bougouni,ML,11.417,-7.479,85.59,58,91,5.44,overcast clouds
194,Marsa Matruh,EG,31.3525,27.2453,80.96,62,0,12.08,clear sky
195,Otane,NZ,-39.8833,176.6333,36.39,91,8,2.33,clear sky
196,Touros,BR,-5.1989,-35.4608,82.56,69,46,17.43,scattered clouds
197,Fuxin,CN,42.0156,121.6589,72.14,74,96,3.09,overcast clouds
198,Upernavik,GL,72.7868,-56.1549,48.56,58,71,4.47,broken clouds
199,Agropoli,IT,40.3469,14.9966,86.09,61,0,6.33,clear sky
200,Male,MV,4.1748,73.5089,83.34,74,35,7.11,scattered clouds
201,Kasongo-Lunda,CD,-6.4667,16.8167,93.69,18,1,3.98,clear sky
202,Oruro,BO,-17.9833,-67.15,45.79,12,0,3.4,clear sky
203,Koulamoutou,GA,-1.1303,12.4736,93.85,28,79,2.95,broken clouds
204,Dembi Dolo,ET,8.5333,34.8,59.09,94,95,2.19,light rain
205,Hobyo,SO,5.3505,48.5268,78.71,67,96,30.2,overcast clouds
206,Dedovichi,RU,57.5517,29.9502,64.33,56,70,5.17,broken clouds
207,Kutum,SD,14.2,24.6667,86.4,31,80,13.42,broken clouds
208,Katsuura,JP,35.1333,140.3,75.22,95,100,12.86,moderate rain
209,Almaty,KZ,43.25,76.95,76.91,31,20,4.47,few clouds
210,San Julian,MX,21.0167,-102.1667,67.23,60,100,7.34,overcast clouds
211,Dresden,DE,51.0509,13.7383,74.17,42,0,12.66,clear sky
212,Kyra,RU,49.5776,111.9753,54.34,91,100,5.26,moderate rain
213,Maceio,BR,-9.6658,-35.7353,76.44,88,75,10.36,broken clouds
214,Lebanon,US,36.2081,-86.2911,92.95,52,0,6.91,clear sky
215,Oranjemund,NA,-28.55,16.4333,73.24,31,1,9.69,clear sky
216,Aykhal,RU,66.0,111.5,53.13,87,100,16.15,overcast clouds
217,Sines,PT,37.9562,-8.8698,73.29,70,85,4.0,overcast clouds
218,Chuy,UY,-33.6971,-53.4616,51.28,94,100,13.98,overcast clouds
