City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
132,Cacimba De Dentro,BR,76.1,overcast clouds,-6.6417,-35.79,Casa de Farinha
133,Bengkulu,ID,77.34,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
135,Lhokseumawe,ID,79.48,broken clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
136,San Pedro,PH,76.35,scattered clouds,14.35,121.0167,Palines Apartment and Guesthouse
139,Majene,ID,78.17,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
140,Hami,CN,87.64,overcast clouds,42.8,93.45,Laoyutang Resort
141,Abha,SA,76.82,scattered clouds,18.2164,42.5053,Abha Hotel
143,Vazante,BR,82.74,scattered clouds,-17.9869,-46.9078,Hotel Pousada e Restaurante
144,Poso,ID,76.39,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
148,Bilkha,IN,79.97,broken clouds,21.4333,70.6,My house
150,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
151,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Pousada Camboinha
155,The Valley,AI,86.14,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
156,Kapoeta,SS,82.44,overcast clouds,4.7717,33.5903,Eastgate Hotel
164,Vieste,IT,83.21,clear sky,41.8825,16.175,Hotel Falcone
166,Lata,PT,89.49,overcast clouds,40.1629,-8.3327,Casa Maquia
167,Suixi,CN,78.85,light rain,33.8907,116.7747,Campanile Hotel
168,Limon,CR,80.49,scattered clouds,10.0,-83.0333,Hotel Playa Bonita
171,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
173,Panalingaan,PH,79.5,broken clouds,8.7842,117.4231,I Love Panalingaan View Deck
175,Srandakan,ID,76.55,broken clouds,-7.9386,110.2506,Puri Brata
177,Takoradi,GH,77.02,overcast clouds,4.8845,-1.7554,Raybow International Hotel
181,Sibolga,ID,77.4,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
185,Kulhudhuffushi,MV,82.09,light rain,6.6221,73.07,Haajy Guest House 1
189,Surt,LY,80.87,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
192,La Asuncion,VE,82.51,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
193,Bougouni,ML,85.59,overcast clouds,11.417,-7.479,Non Stop
194,Marsa Matruh,EG,80.96,clear sky,31.3525,27.2453,Beau Site
196,Touros,BR,82.56,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
199,Agropoli,IT,86.09,clear sky,40.3469,14.9966,B&B Baia di Trentova
200,Male,MV,83.34,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
205,Hobyo,SO,78.71,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
207,Kutum,SD,86.4,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
